Kategoria,Nazwa,Cena obecna,Obnizka,#Indeks,Obraz,Rozmiary,Opis,Podsumowanie,Kolor,Aktywny,Regula podatkowa,Cana regularna przed obnizka,Wyprzedaz,Wyprzedaz od,Wyprzedaz do,Producent,Ilosc,Minimalna ilosc,Mala ilosc w magazynie,Powiadom gdy w magazynie mało,Utworzono,Magazyn,Dostepne,Pokaż cene,Tekst alternatywny,Tekst gdy na stanie,Pokaz cene
OUTLET DAMSKI,Szpilki czarne,450,200.0,   D02454-3309-003,"https://baldowski.b-cdn.net/6300-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/6302-new_cart_photo/szpilki-czarne.jpg",37,"Szpilki czarne na 10,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej.,czarny,1,1,650.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czarne,Dostępne,1
OUTLET DAMSKI,Szpilki w multikolorze,300,155.0,   D02500-1451-006,"https://baldowski.b-cdn.net/5352-new_cart_photo/szpilki-w-multikolorze.jpg,https://baldowski.b-cdn.net/5354-new_cart_photo/szpilki-w-multikolorze.jpg","38,40,41",Multikolorowe szpilki na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., multikolor,1,1,455.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki w multikolorze,Dostępne,1
WSZYSTKIE BUTY,Sandały czarne,300,150.0,   D03021-4744-002,"https://baldowski.b-cdn.net/9699-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/9701-new_cart_photo/sandaly-czarne.jpg","35,36,37,39,40",Sandały czarne na 7-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, zamszowej.", czarny,1,1,450.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sandały czarne,Dostępne,1
WSZYSTKIE BUTY,Sandały czarne,340,150.0,   D02584 Zamsz Czarny,"https://baldowski.b-cdn.net/9639-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/9641-new_cart_photo/sandaly-czarne.jpg","35,36,37,38,39",Sandały czarne na 7-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, zamszowej.", czarny,1,1,490.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sandały czarne,Dostępne,1
OUTLET DAMSKI,Szpilki bordowe,300,155.0,   D02500-1451-005,"https://baldowski.b-cdn.net/6504-new_cart_photo/szpilki-bordowe.jpg,https://baldowski.b-cdn.net/6506-new_cart_photo/szpilki-bordowe.jpg",41,Bordowe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., bordowy,1,1,455.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki bordowe,Dostępne,1
OUTLET DAMSKI,Szpilki w panterkę,300,155.0,   D02597-1451-001,"https://baldowski.b-cdn.net/6428-new_cart_photo/szpilki-w-panterke.jpg,https://baldowski.b-cdn.net/6429-new_cart_photo/szpilki-w-panterke.jpg","35,36,39",Szpilki z motywem zwierzęcym na 10-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, zamszowej.", brązowy w panterkę,1,1,455.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki w panterkę,Dostępne,1
OUTLET DAMSKI,Czółenka w multikolorze,380,100.0,   W00548-3262-003,"https://baldowski.b-cdn.net/2997-new_cart_photo/czolenka-w-multikolorze.jpg,https://baldowski.b-cdn.net/2998-new_cart_photo/czolenka-w-multikolorze.jpg",37,Buty w multikolorze na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., multikolor,1,1,480.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka w multikolorze,Dostępne,1
OUTLET DAMSKI,Czółenka popielate,340,100.0,   D02316-3262-003,"https://baldowski.b-cdn.net/2929-new_cart_photo/czolenka-popielate.jpg,https://baldowski.b-cdn.net/2891-new_cart_photo/czolenka-popielate.jpg",37,Popielate buty na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., popiel,1,1,440.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka popielate,Dostępne,1
OUTLET DAMSKI,Czółenka multicolor,370,100.0,   D02571-4330-001,"https://baldowski.b-cdn.net/6865-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/6866-new_cart_photo/czółenka-multicolor.jpg",36,"Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor,1,1,470.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
OUTLET DAMSKI,Sandały czarne,290,150.0,   D02520-3436-001,"https://baldowski.b-cdn.net/6351-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/6352-new_cart_photo/sandaly-czarne.jpg",35,Sandały czarne na 9-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, zamszowej.", czarny,1,1,440.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sandały czarne,Dostępne,1
OUTLET DAMSKI,Szpilki czerwone,440,150.0,   D01511-7137-001,"https://baldowski.b-cdn.net/4112-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/4113-new_cart_photo/szpilki-czerwone.jpg",41,Czerwone buty na 9-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony,1,1,590.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czerwone,Dostępne,1
OUTLET DAMSKI,Szpilki żółte,440,150.0,   D01511-7137 -S03,"https://baldowski.b-cdn.net/7745-new_cart_photo/szpilki-żółte.jpg,https://baldowski.b-cdn.net/7747-new_cart_photo/szpilki-żółte.jpg","37,39",Szpili żółte na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., żółty,1,1,590.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki żółte,Dostępne,1
OUTLET DAMSKI,Sandały złoto-platynowe,440,150.0,   D01511-3436-001 (ST),"https://baldowski.b-cdn.net/4727-new_cart_photo/sandaly-zloto-platynowe.jpg,https://baldowski.b-cdn.net/4731-new_cart_photo/sandaly-zloto-platynowe.jpg","35,36",Złoto-platynowe buty na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., złoto-platynowy,1,1,590.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sandały złoto-platynowe,Dostępne,1
OUTLET DAMSKI,Klapki w kolorze kaszmirowym,220,200.0,   W00604-0621-001,"https://baldowski.b-cdn.net/6436-new_cart_photo/klapki-w-kolorze-kaszmirowym.jpg,https://baldowski.b-cdn.net/6437-new_cart_photo/klapki-w-kolorze-kaszmirowym.jpg",36,Klapki w kolorze kaszmirowym na 1-centymetrowym obcasie. ,"Wykonane ze skóry naturalnej, zamszowej.", kaszmirowy,1,1,420.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Klapki w kolorze kaszmirowym,Dostępne,1
OUTLET DAMSKI,Klapki białe,220,200.0,   W00604-0621-002,"https://baldowski.b-cdn.net/6440-new_cart_photo/klapki-biale.jpg,https://baldowski.b-cdn.net/6441-new_cart_photo/klapki-biale.jpg",36,Klapki białe na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały,1,1,420.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Klapki białe,Dostępne,1
OUTLET DAMSKI,Buty płaskie czarne,240,250.0,   D02303-8321-001,"https://baldowski.b-cdn.net/3384-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/3385-new_cart_photo/buty-plaskie-czarne.jpg","35,41",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,490.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Buty płaskie czarne,Dostępne,1
OUTLET DAMSKI,Kozaki czarne,250,460.0,   D01185S,"https://baldowski.b-cdn.net/7251-new_cart_photo/kozaki-czarne.jpg,https://baldowski.b-cdn.net/7252-new_cart_photo/kozaki-czarne.jpg",36,Czarne kozaki., wykonane ze skóry naturalnej zamszowej., czarny,1,1,710.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki czarne,Dostępne,1
OUTLET DAMSKI,Botki czarne,195,265.0,   D02351-4264-005,"https://baldowski.b-cdn.net/5803-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/5804-new_cart_photo/botki-czarne.jpg",35,"Czarne buty na 6,5-centymetrowym obcasie.", wykonane ze skóry naturalnej., czarny,1,1,460.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki czarne,Dostępne,1
SZPILKI,Szpilki granatowe,520,,   D02728-1451-017/p2,"https://baldowski.b-cdn.net/10463-new_cart_photo/szpilki-granatowe.jpg,https://baldowski.b-cdn.net/10461-new_cart_photo/szpilki-granatowe.jpg","35,36,37,38,39,40,41",Szpliki granatowe na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., granatowy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki granatowe,Dostępne,1
SZPILKI,Szpilki w kolorze fuksji,520,,   D02728-1451-006 /p2,"https://baldowski.b-cdn.net/10438-new_cart_photo/szpilki-w-kolorze-fuksji.jpg,https://baldowski.b-cdn.net/10440-new_cart_photo/szpilki-w-kolorze-fuksji.jpg","35,36,37,38,39,40,41",Szpilki w kolorze fuksji na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., fuksja,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki w kolorze fuksji,Dostępne,1
SZPILKI,Szpilki nude,520,,   D02728-1451-014/p2,"https://baldowski.b-cdn.net/10451-new_cart_photo/szpilki-nude.jpg,https://baldowski.b-cdn.net/10453-new_cart_photo/szpilki-nude.jpg","35,36,37,38,39,40,41",Szpilki w kolorze nude na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., nude,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki nude,Dostępne,1
SZPILKI,Szpilki w kolorze camel,420,,   D00580-1451-244/ 580-1451-197,"https://baldowski.b-cdn.net/6391-new_cart_photo/szpilki-w-kolorze-camel.jpg,https://baldowski.b-cdn.net/6393-new_cart_photo/szpilki-w-kolorze-camel.jpg","36,39,40,41",Szpilki w kolorze rudym na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., camel,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki w kolorze camel,Dostępne,1
SZPILKI,Szpilki czarne,490,,   D03102-E160-012/p2,"https://baldowski.b-cdn.net/10487-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/10489-new_cart_photo/szpilki-czarne.jpg","35,36,37,38,39,40,41",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czarne,Dostępne,1
SZPILKI,Szpilki czarne,490,,   D03102-E160-011/p2,"https://baldowski.b-cdn.net/10478-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/10480-new_cart_photo/szpilki-czarne.jpg","35,36,37,38,39,40,41",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czarne,Dostępne,1
SZPILKI,Szpilki czerwone,490,,   D03102-E160-001,"https://baldowski.b-cdn.net/9182-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/9184-new_cart_photo/szpilki-czerwone.jpg","36,37,38,39,40,41",Szpilki czerwone na 11-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czerwone,Dostępne,1
CZÓŁENKA,Czółenka grafitowe,590,,   D02727-3262-004,"https://baldowski.b-cdn.net/7705-new_cart_photo/czolenka-szare.jpg,https://baldowski.b-cdn.net/7707-new_cart_photo/czolenka-szare.jpg","36,37,38,40,41",Czółenka grafitowe na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., grafitowy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka grafitowe,Dostępne,1
CZÓŁENKA,Czółenka czarne,530,,   W00203-3262-001/p2,"https://baldowski.b-cdn.net/10614-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/10616-new_cart_photo/czolenka-czarne.jpg","35,36,37,38,39,40,41",Czarne czółenka na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka czarne,Dostępne,1
CZÓŁENKA,Czółenka granatowe,530,,   W00203-3262-002/p2,"https://baldowski.b-cdn.net/10623-new_cart_photo/czolenka-granatowe.jpg,https://baldowski.b-cdn.net/10625-new_cart_photo/czolenka-granatowe.jpg","35,36,37,38,39,40,41",Czółenka granatowe  na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., granatowy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka granatowe,Dostępne,1
CZÓŁENKA,Czółenka czarne,340,100.0,   D03037-4330-007,"https://baldowski.b-cdn.net/8629-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/8631-new_cart_photo/czolenka-czarne.jpg","36,37","Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny,1,1,440.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka czarne,Dostępne,1
CZÓŁENKA,Czółenka w multikolorze,390,100.0,   D03037-4330-008,"https://baldowski.b-cdn.net/8637-new_cart_photo/czolenka-w-multikolorze.jpg,https://baldowski.b-cdn.net/8639-new_cart_photo/czolenka-w-multikolorze.jpg","36,37,40","Czółenka w multikolorze na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multikolor,1,1,490.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka w multikolorze,Dostępne,1
CZÓŁENKA,Czółenka  camel,400,100.0,   D02408-4330-008,"https://baldowski.b-cdn.net/6199-new_cart_photo/czolenka-camel.jpg,https://baldowski.b-cdn.net/6201-new_cart_photo/czolenka-camel.jpg",38,"Czółenka w kolorze camel na 7,5-centymetrowym obcasie.", wykonane ze skóry naturalnej zamszowej., camel,1,1,500.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka  camel,Dostępne,1
CZÓŁENKA,Czółenka w kolorze kaszmirowym,340,100.0,   D02570-4330-003,"https://baldowski.b-cdn.net/6787-new_cart_photo/czolenka-w-kolorze-kaszmirowym.jpg,https://baldowski.b-cdn.net/6789-new_cart_photo/czolenka-w-kolorze-kaszmirowym.jpg","36,40,41","Czółenka koloru kaszmirowego  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej zamszowej., kaszmir,1,1,440.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka w kolorze kaszmirowym,Dostępne,1
CZÓŁENKA,Czółenka złote,320,100.0,   D02651-4330-011,"https://baldowski.b-cdn.net/7381-new_cart_photo/czółenka-złote.jpg,https://baldowski.b-cdn.net/7382-new_cart_photo/czółenka-złote.jpg","35,41","Czółenka złote  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., złoty,1,1,420.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka złote,Dostępne,1
CZÓŁENKA,Czółenka zielone,420,,   D02651/2 zielony,"https://baldowski.b-cdn.net/8177-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/8179-new_cart_photo/czolenka-zielone.jpg","36,40,41","Czółenka zielone  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., zielony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka zielone,Dostępne,1
CZÓŁENKA,Czółenka multicolor,420,,   D02651-4330-005,"https://baldowski.b-cdn.net/7457-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/7459-new_cart_photo/czółenka-multicolor.jpg","37,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka multicolor,420,,   D02651-4330-008,"https://baldowski.b-cdn.net/8968-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/8970-new_cart_photo/czółenka-multicolor.jpg","36,37,38,39,40","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka czarne,420,,   D02651-2330/D czarny lak+sk.+zamsz,"https://baldowski.b-cdn.net/9374-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/9376-new_cart_photo/czolenka-czarne.jpg","35,36,38,40,41","Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka czarne,Dostępne,1
CZÓŁENKA,Czółenka multicolor,420,,   D02651/D zamsz zielony +beros,"https://baldowski.b-cdn.net/9342-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/9344-new_cart_photo/czolenka-multicolor.jpg","35,36,37,38,40","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multicolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka multicolor,420,,   D02651-4330-001/ D02651 zamsz ziel+sk.złota+melvet,"https://baldowski.b-cdn.net/8613-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/8615-new_cart_photo/czolenka-multicolor.jpg","36,37,38,39,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka multicolor,420,,   D02651/D sk.czarna+cappucino+biała,"https://baldowski.b-cdn.net/9358-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/9360-new_cart_photo/czolenka-multicolor.jpg","35,36,37,38,40,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multicolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka multicolor,320,100.0,   D02651 czarny zamsz-beros9002,"https://baldowski.b-cdn.net/8281-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/8282-new_cart_photo/czółenka-multicolor.jpg","35,36,37,38,39,40,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor,1,1,420.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka  beżowe,460,,   D03072-4330-006,"https://baldowski.b-cdn.net/8481-new_cart_photo/czolenka-bezowe.jpg,https://baldowski.b-cdn.net/8482-new_cart_photo/czolenka-bezowe.jpg","37,40",Czółenka w kolorze beżowym na 7-centymetrowym obcasie., wykonane ze skóry naturalnej., beż,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka  beżowe,Dostępne,1
CZÓŁENKA,Czółenka  camel,460,,   D03072-4330-007,"https://baldowski.b-cdn.net/8879-new_cart_photo/czolenka-camel.jpg,https://baldowski.b-cdn.net/8881-new_cart_photo/czolenka-camel.jpg","36,37,39,40",Czółenka w kolorze beżowym na 7-centymetrowym obcasie., wykonane ze skóry naturalnej., beż,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka  camel,Dostępne,1
CZÓŁENKA,Czółenka bordowe,480,,   D02572-4330-007,"https://baldowski.b-cdn.net/7616-new_cart_photo/czółenka-bordowe.jpg,https://baldowski.b-cdn.net/7618-new_cart_photo/czółenka-bordowe.jpg","36,40","Czółenka bordowy na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., bordowy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka bordowe,Dostępne,1
CZÓŁENKA,Czółenka zielone,480,,   D02572-4330-003,"https://baldowski.b-cdn.net/7608-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/7610-new_cart_photo/czolenka-zielone.jpg","36,37","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., zielony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka zielone,Dostępne,1
CZÓŁENKA,Czółenka multicolor,420,,   D02572-4330-006/ D02572,"https://baldowski.b-cdn.net/7942-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/7944-new_cart_photo/czolenka-multicolor.jpg","35,36,38,39,40,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka czarne,590,,   D02661-4330-001,"https://baldowski.b-cdn.net/9871-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/9873-new_cart_photo/czolenka-czarne.jpg","36,37,39","Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka czarne,Dostępne,1
CZÓŁENKA,Czółenka czarne,590,,   D03112 skóra czarna/D03112-4330-002/P2,"https://baldowski.b-cdn.net/9190-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/9192-new_cart_photo/czolenka-czarne.jpg","36,37,38,39",Czółenka na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka czarne,Dostępne,1
CZÓŁENKA,Czółenka zielone,440,,   D02708-4330-002,"https://baldowski.b-cdn.net/7670-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/7672-new_cart_photo/czolenka-zielone.jpg","37,40","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., zielony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka zielone,Dostępne,1
CZÓŁENKA,Czółenka multikolor,540,,   D02707-4330-007,"https://baldowski.b-cdn.net/9923-new_cart_photo/czolenka-w-multikolorze.jpg,https://baldowski.b-cdn.net/9925-new_cart_photo/czolenka-w-multikolorze.jpg","37,38,39,40","Buty w multikolorze na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multikolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multikolor,Dostępne,1
CZÓŁENKA,Czółenka czarne,440,,   D02708-4330-001,"https://baldowski.b-cdn.net/7662-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/7663-new_cart_photo/czolenka-czarne.jpg","38,39","Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny z dodatkiem brązu,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka czarne,Dostępne,1
CZÓŁENKA,Czółenka cappuccino,420,,   D02707,"https://baldowski.b-cdn.net/8201-new_cart_photo/czolenka-cappuccino.jpg,https://baldowski.b-cdn.net/8203-new_cart_photo/czolenka-cappuccino.jpg","35,36,37,40,41","Czółenka cappuccino na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej, cappuccino,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka cappuccino,Dostępne,1
CZÓŁENKA,Czółenka multicolor,500,,   D03206-4330-002,"https://baldowski.b-cdn.net/10278-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/10280-new_cart_photo/czolenka-multicolor.jpg","36,37,38","Czółenka w multikolorze na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multikolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka multicolor,500,,   D03206-4330-001,"https://baldowski.b-cdn.net/10270-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/10272-new_cart_photo/czółenka-multicolor.jpg","36,40","Czółenka w multikolorze na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multikolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka multicolor,Dostępne,1
CZÓŁENKA,Czółenka zielone,560,,   D03450-4330-001,"https://baldowski.b-cdn.net/10194-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/10196-new_cart_photo/czolenka-zielone.jpg","35,36,37,38,39,40,41","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., zielony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka zielone,Dostępne,1
CZÓŁENKA,Czółenka bordowe,560,,   D03066-4330-004,"https://baldowski.b-cdn.net/10690-new_cart_photo/czółenka-bordowe.jpg,https://baldowski.b-cdn.net/10692-new_cart_photo/czółenka-bordowe.jpg","36,38,39,40","Czółenka bordowe na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., bordowy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka bordowe,Dostępne,1
