kategoria,Nazwa,Cena,Cena przed obnizka,Nr referencyjny,Adres zdjecia,Rozmiary,Opis,Material wykonania,Kolor
CZÓŁENKA,Czółenka złote,320,"420,00 ",   D02651-4330-011,"https://baldowski.b-cdn.net/7381-new_cart_photo/czółenka-złote.jpg,https://baldowski.b-cdn.net/7382-new_cart_photo/czółenka-złote.jpg","35,41","Czółenka złote  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., złoty
CZÓŁENKA,Czółenka zielone,420,,   D02651/2 zielony,"https://baldowski.b-cdn.net/8177-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/8179-new_cart_photo/czolenka-zielone.jpg","36,40,41","Czółenka zielone  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., zielony
CZÓŁENKA,Czółenka multicolor,420,,   D02651-4330-005,"https://baldowski.b-cdn.net/7457-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/7459-new_cart_photo/czółenka-multicolor.jpg","37,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor
CZÓŁENKA,Czółenka czarne,420,,   D02651-2330/D czarny lak+sk.+zamsz,"https://baldowski.b-cdn.net/9374-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/9376-new_cart_photo/czolenka-czarne.jpg","35,36,38,40,41","Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka multicolor,420,,   D02651/D zamsz zielony +beros,"https://baldowski.b-cdn.net/9342-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/9344-new_cart_photo/czolenka-multicolor.jpg","35,36,37,38,40","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multicolor
CZÓŁENKA,Czółenka multicolor,320,"420,00 ",   D02651 czarny zamsz-beros9002,"https://baldowski.b-cdn.net/8281-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/8282-new_cart_photo/czółenka-multicolor.jpg","35,36,37,38,39,40,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor
CZÓŁENKA,Czółenka multicolor,420,,   D02651-4330-001/ D02651 zamsz ziel+sk.złota+melvet,"https://baldowski.b-cdn.net/8613-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/8615-new_cart_photo/czolenka-multicolor.jpg","36,37,38,39,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor
CZÓŁENKA,Czółenka multicolor,420,,   D02651/D sk.czarna+cappucino+biała,"https://baldowski.b-cdn.net/9358-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/9360-new_cart_photo/czolenka-multicolor.jpg","35,36,37,38,40,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multicolor
CZÓŁENKA,Czółenka  beżowe,460,,   D03072-4330-006,"https://baldowski.b-cdn.net/8481-new_cart_photo/czolenka-bezowe.jpg,https://baldowski.b-cdn.net/8482-new_cart_photo/czolenka-bezowe.jpg","37,40",Czółenka w kolorze beżowym na 7-centymetrowym obcasie., wykonane ze skóry naturalnej., beż
CZÓŁENKA,Czółenka  camel,460,,   D03072-4330-007,"https://baldowski.b-cdn.net/8879-new_cart_photo/czolenka-camel.jpg,https://baldowski.b-cdn.net/8881-new_cart_photo/czolenka-camel.jpg","36,37,39,40",Czółenka w kolorze beżowym na 7-centymetrowym obcasie., wykonane ze skóry naturalnej., beż
CZÓŁENKA,Czółenka czarne,440,,   D02262-4330-014,"https://baldowski.b-cdn.net/3513-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/3515-new_cart_photo/czolenka-czarne.jpg",38,"Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka bordowe,480,,   D02572-4330-007,"https://baldowski.b-cdn.net/7616-new_cart_photo/czółenka-bordowe.jpg,https://baldowski.b-cdn.net/7618-new_cart_photo/czółenka-bordowe.jpg","36,40","Czółenka bordowy na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., bordowy
CZÓŁENKA,Czółenka multicolor,420,,   D02572-4330-006/ D02572,"https://baldowski.b-cdn.net/7942-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/7944-new_cart_photo/czolenka-multicolor.jpg","35,36,38,39,40,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor
CZÓŁENKA,Czółenka czarne,590,,   D02661-4330-001,"https://baldowski.b-cdn.net/9871-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/9873-new_cart_photo/czolenka-czarne.jpg","36,37,39","Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka czarne,590,,   D03112 skóra czarna/D03112-4330-002/P2,"https://baldowski.b-cdn.net/9190-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/9192-new_cart_photo/czolenka-czarne.jpg","36,37,38,39",Czółenka na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka zielone,440,,   D02708-4330-002,"https://baldowski.b-cdn.net/7670-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/7672-new_cart_photo/czolenka-zielone.jpg","37,40","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., zielony
CZÓŁENKA,Czółenka multikolor,540,,   D02707-4330-007,"https://baldowski.b-cdn.net/9923-new_cart_photo/czolenka-w-multikolorze.jpg,https://baldowski.b-cdn.net/9925-new_cart_photo/czolenka-w-multikolorze.jpg","37,38,39,40","Buty w multikolorze na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multikolor
CZÓŁENKA,Czółenka czarne,440,,   D02708-4330-001,"https://baldowski.b-cdn.net/7662-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/7663-new_cart_photo/czolenka-czarne.jpg","38,39","Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny z dodatkiem brązu
CZÓŁENKA,Czółenka cappuccino,420,,   D02707,"https://baldowski.b-cdn.net/8201-new_cart_photo/czolenka-cappuccino.jpg,https://baldowski.b-cdn.net/8203-new_cart_photo/czolenka-cappuccino.jpg","35,36,37,40,41","Czółenka cappuccino na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej, cappuccino
CZÓŁENKA,Czółenka w kolorze camel,490,,   D02341-4330-002,"https://baldowski.b-cdn.net/3483-new_cart_photo/czolenka-w-kolorze-camel.jpg,https://baldowski.b-cdn.net/3484-new_cart_photo/czolenka-w-kolorze-camel.jpg",37,"Buty w kolorze camel na 7,5-centymetrowym obcasie.", wykonane ze skóry naturalnej., camel
CZÓŁENKA,Czółenka czerwone,460,,   D02341-4330-003/S03,"https://baldowski.b-cdn.net/3393-new_cart_photo/czolenka-czerwone.jpg,https://baldowski.b-cdn.net/9892-new_cart_photo/czolenka-czerwone.jpg","36,37,38,39,40","Czerwone buty na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czerwony
CZÓŁENKA,Czółenka czarne,560,,   D02341-4330-001/P,"https://baldowski.b-cdn.net/2930-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/2894-new_cart_photo/czolenka-czarne.jpg","35,36,37,38,39,40,41","Czarne buty na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka multicolor,500,,   D03206-4330-002,"https://baldowski.b-cdn.net/10278-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/10280-new_cart_photo/czolenka-multicolor.jpg","36,37,38","Czółenka w multikolorze na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multikolor
CZÓŁENKA,Czółenka multicolor,500,,   D03206-4330-001,"https://baldowski.b-cdn.net/10270-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/10272-new_cart_photo/czółenka-multicolor.jpg","36,40","Czółenka w multikolorze na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multikolor
CZÓŁENKA,Czółenka zielone,560,,   D03450-4330-001,"https://baldowski.b-cdn.net/10194-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/10196-new_cart_photo/czolenka-zielone.jpg","35,36,37,38,39,40,41","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., zielony
CZÓŁENKA,Czółenka bordowe,560,,   D03066-4330-004,"https://baldowski.b-cdn.net/10690-new_cart_photo/czółenka-bordowe.jpg,https://baldowski.b-cdn.net/10692-new_cart_photo/czółenka-bordowe.jpg","36,38,39,40","Czółenka bordowe na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., bordowy
CZÓŁENKA,Czółenka czarne,530,,   D03270-4330-001/P2/D03270-4330-005,"https://baldowski.b-cdn.net/10515-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/10517-new_cart_photo/czolenka-czarne.jpg","35,36,37,38,39,40,41",Czółenka na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka zielone,530,,   D03270-4330-007/P,"https://baldowski.b-cdn.net/10524-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/10526-new_cart_photo/czolenka-zielone.jpg","35,36,37,38,39,40,41","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., zielony
CZÓŁENKA,Czółenka zielone,530,,   D03270-4330-002,"https://baldowski.b-cdn.net/10979-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/10980-new_cart_photo/czolenka-zielone.jpg","36,38,39","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., zielony
CZÓŁENKA,Czółenka granatowe,530,,   D03270-4330-009/P,"https://baldowski.b-cdn.net/10534-new_cart_photo/czółenka-granatowe.jpg,https://baldowski.b-cdn.net/10536-new_cart_photo/czółenka-granatowe.jpg","35,36,37,38,39,40,41","Czółenka granatowe  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., granatowy
BIUROWE,Czółenka multicolor,420,,   D02651-4330-008,"https://baldowski.b-cdn.net/8968-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/8970-new_cart_photo/czółenka-multicolor.jpg","36,37,38,39,40","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor
BIUROWE,Czółenka multicolor,320,"420,00 ",   D02651 zamsz siena+pyton,"https://baldowski.b-cdn.net/8288-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/8290-new_cart_photo/czolenka-multicolor.jpg","35,36,37,38,39,40,41","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor
BIUROWE,Czółenka multicolor,320,"420,00 ",   D02651-4330-006,"https://baldowski.b-cdn.net/7465-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/7467-new_cart_photo/czółenka-multicolor.jpg",40,"Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., multicolor
