kategoria,Nazwa,Cena,Cena przed obnizka,Nr referencyjny,Adres zdjecia,Rozmiary,Opis,Material wykonania,Kolor
SNEAKERSY,Sneakersy srebrne,210,"590,00 ",   W00385-SNIK-002,"https://baldowski.b-cdn.net/3793-new_cart_photo/sneakersy-srebrne.jpg,https://baldowski.b-cdn.net/3794-new_cart_photo/sneakersy-srebrne.jpg",,Złote sneakersy na 8-centymetrowej platformie schowanej. ,Wykonane ze skóry naturalnej., srebrny
SNEAKERSY,Sneakersy granatowe,290,"490,00 ",   W01022s/D lak.+zamsz granat,"https://baldowski.b-cdn.net/9581-new_cart_photo/sneakersy-granatowe.jpg,https://baldowski.b-cdn.net/9580-new_cart_photo/sneakersy-granatowe.jpg","35,40,41",Sneakersy na 8-centymetrowej platformie schowanej. ,Wykonane ze skóry naturalnej., granatowy
SNEAKERSY,Sneakersy czarne,310,"590,00 ",   W00239-SNIK-003,"https://baldowski.b-cdn.net/5282-new_cart_photo/sneakersy-czarne.jpg,https://baldowski.b-cdn.net/5283-new_cart_photo/sneakersy-czarne.jpg",36,Czarne sneakersy na 8-centymetrowej platformie schowanej. ,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki bordowe z metalowym noskiem,660,,   D03357-SKV1-008/Z2,"https://baldowski.b-cdn.net/10888-new_cart_photo/botki-bordowe-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10890-new_cart_photo/botki-bordowe-z-metalowym-noskiem.jpg","36,37,38,39,40,41",Botki bordowe na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., bordowy
BOTKI,Botki czarne,850,,   D02163-4048-003,"https://baldowski.b-cdn.net/10725-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10727-new_cart_photo/botki-czarne.jpg","35,36,37,38,39,40,41",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Klapki multicolor,240,"490,00 ",   D02427-0621-001,"https://baldowski.b-cdn.net/6726-new_cart_photo/klapki-multicolor.jpg,https://baldowski.b-cdn.net/6725-new_cart_photo/klapki-multicolor.jpg","36,37,38",Klapki multicolor na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., multicolor
BY MACIEJ ZIEŃ,Botki czarne,390,"820,00 ",   Z0001,"https://baldowski.b-cdn.net/4938-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/4939-new_cart_photo/botki-czarne.jpg",35,"Czarne buty na 10,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka jasny brąz,530,,   D03270-4330-003/P2/D03270-4330-006,"https://baldowski.b-cdn.net/10985-new_cart_photo/czolenka-jasny-braz.jpg,https://baldowski.b-cdn.net/10982-new_cart_photo/czolenka-jasny-braz.jpg","35,36,37,38,39,40,41","Czółenka jasny brąz na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., jasny brąz
CZÓŁENKA,Czółenka zielone,480,,   D02572-4330-003,"https://baldowski.b-cdn.net/7608-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/7610-new_cart_photo/czolenka-zielone.jpg","36,37,41","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., zielony
KOZAKI,Kozaki czarne,780,,   Z00034-4300-002,"https://baldowski.b-cdn.net/7857-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/7859-new_cart_photo/szpilki-czarne.jpg","39,40",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
OUTLET MĘSKI,Buty męskie czarne,249,"560,00 ",   027,"https://baldowski.b-cdn.net/5075-new_cart_photo/buty-meskie-czarne.jpg,https://baldowski.b-cdn.net/5079-new_cart_photo/buty-meskie-czarne.jpg","41,42,44,45",Czarne buty męskie na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
SZPILKI,Szpilki nude z ozdobnym spodem,630,,   D00580-1451-S05,"https://baldowski.b-cdn.net/10172-new_cart_photo/szpilki-nude-z-ozdobnym-spodem.jpg,https://baldowski.b-cdn.net/10174-new_cart_photo/szpilki-nude-z-ozdobnym-spodem.jpg","35,36,37,38,39,40,41",Szpilki w kolorze nude na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., nude
SZPILKI,Szpilki granatowe,520,,   D02728-1451-017/p2,"https://baldowski.b-cdn.net/10463-new_cart_photo/szpilki-granatowe.jpg,https://baldowski.b-cdn.net/10461-new_cart_photo/szpilki-granatowe.jpg","35,36,37,38,39,40,41",Szpliki granatowe na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., granatowy
OUTLET DAMSKI,Botki czarne,410,"560,00 ",   D02302-3262-009/S06,"https://baldowski.b-cdn.net/6604-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/2973-new_cart_photo/botki-czarne.jpg",40,Czarne buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czarny
BOUTIQUE ŚLUBNY ,Szpilki beżowe,520,,   D02816-2835-006,"https://baldowski.b-cdn.net/10123-new_cart_photo/szpilki-bezowe.jpg,https://baldowski.b-cdn.net/10125-new_cart_photo/szpilki-bezowe.jpg","35,38",Szpilki w kolorze beżowym na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej.,beżowy
BOUTIQUE ŚLUBNY ,Szpilki ślubne białe,420,,   D00579-3514-034,"https://baldowski.b-cdn.net/5554-new_cart_photo/szpilki-slubne-biale.jpg,https://baldowski.b-cdn.net/5556-new_cart_photo/szpilki-slubne-biale.jpg","38,39,40,41",Białe szpilki na 8-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały
BOUTIQUE ŚLUBNY ,Szpilki złote,520,,   D02821-3359-001,"https://baldowski.b-cdn.net/8741-new_cart_photo/szpilki-złote.jpg,https://baldowski.b-cdn.net/8743-new_cart_photo/szpilki-złote.jpg","36,37,38,40,41",Szpilki złote na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej i materiału., złoty
BOUTIQUE ŚLUBNY ,Szpilki nude,510,,   D02821-3359-002,"https://baldowski.b-cdn.net/10055-new_cart_photo/szpilki-nude.jpg,https://baldowski.b-cdn.net/10057-new_cart_photo/szpilki-nude.jpg","36,37",Szpilki w kolorze nude na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., nude
BOUTIQUE ŚLUBNY ,Szpilki nude,420,,   D03277-3359-001/D03188-3359-001,"https://baldowski.b-cdn.net/9149-new_cart_photo/szpilki-nude.jpg,https://baldowski.b-cdn.net/9151-new_cart_photo/szpilki-nude.jpg","37,38,39",Szpilki w kolorze nude na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., nude
BOUTIQUE ŚLUBNY ,Szpilki beżowe,420,,   D01545-3359-009,"https://baldowski.b-cdn.net/8846-new_cart_photo/szpilki-beżowe.jpg,https://baldowski.b-cdn.net/8848-new_cart_photo/szpilki-beżowe.jpg","39,41",Szpili beżowe na 7-centymetrowym obcasie., wykonane ze skóry naturalnej., beżowy
BOUTIQUE ŚLUBNY ,Szpilki białe,490,,   D01545-3359-008,"https://baldowski.b-cdn.net/8960-new_cart_photo/szpilki-białe.jpg,https://baldowski.b-cdn.net/8962-new_cart_photo/szpilki-białe.jpg","37,39,41",Szpilki białe na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., biały
BIUROWE,Szpilki rude,490,,   D01545-3359-012,"https://baldowski.b-cdn.net/10238-new_cart_photo/szpilki-rude.jpg,https://baldowski.b-cdn.net/10240-new_cart_photo/szpilki-rude.jpg","36,37,40,41",Szpilki rude na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., rudy
BIUROWE,Czółenka zielone,490,,   D00580-1459-059,"https://baldowski.b-cdn.net/10230-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/10232-new_cart_photo/czolenka-zielone.jpg","39,40,41",Czółenka zielone na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., zielony
WSZYSTKIE BUTY,Szpilki czarne,490,,   D02598-1451-004,"https://baldowski.b-cdn.net/6953-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/6955-new_cart_photo/szpilki-czarne.jpg","40,41",Szpilki czarne na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
WSZYSTKIE BUTY,Botki multicolor,380,"680,00 ",   D02302-3262-S08,"https://baldowski.b-cdn.net/7210-new_cart_photo/botki-multicolor.jpg,https://baldowski.b-cdn.net/7212-new_cart_photo/botki-multicolor.jpg","36,37,40",Botki na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor
WSZYSTKIE BUTY,Szpilki czerwone,420,,   D00580,"https://baldowski.b-cdn.net/7192-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/7194-new_cart_photo/szpilki-czerwone.jpg","35,36,39,40,41",Czerwone buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony
BOUTIQUE ŚLUBNY ,Sandały złote,430,,   D02563-3436-010,"https://baldowski.b-cdn.net/9667-new_cart_photo/sandaly-zlote.jpg,https://baldowski.b-cdn.net/9669-new_cart_photo/sandaly-zlote.jpg",37,Złote buty na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., złoty
BOUTIQUE ŚLUBNY ,Sandały różowe,390,"490,00 ",   D03133-7633-003,"https://baldowski.b-cdn.net/8912-new_cart_photo/sandaly-rozowe.jpg,https://baldowski.b-cdn.net/8914-new_cart_photo/sandaly-rozowe.jpg",36,Sandały różowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., różowy
BOUTIQUE ŚLUBNY ,Sandały beżowe,430,"530,00 ",   D03133-7633-004,"https://baldowski.b-cdn.net/9065-new_cart_photo/sandaly-bezowe.jpg,https://baldowski.b-cdn.net/9067-new_cart_photo/sandaly-bezowe.jpg","36,37",Sandały beżowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beżowy
NOWOŚCI,Czółenka zielone,490,,   D00580-1459-059,"https://baldowski.b-cdn.net/10707-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/10709-new_cart_photo/czolenka-zielone.jpg","36,39,40,41",Czółenka zielone na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., zielony
NOWOŚCI,Czółenka bordowe,490,,   D00580-1459-058,"https://baldowski.b-cdn.net/10328-new_cart_photo/czółenka-bordowe.jpg,https://baldowski.b-cdn.net/10330-new_cart_photo/czółenka-bordowe.jpg","36,40",Czółenka w kolorze bordowym  na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., bordowy
NOWOŚCI,Sandały czarne,500,,   D03054-3436-008/p2,"https://baldowski.b-cdn.net/10469-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/10471-new_cart_photo/sandaly-czarne.jpg","35,36,37,39,40",Sandały czarne na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BOUTIQUE ŚLUBNY ,Sandały beżowe,430,"530,00 ",   D03115-7633-004,"https://baldowski.b-cdn.net/9049-new_cart_photo/sandaly-bezowe.jpg,https://baldowski.b-cdn.net/9051-new_cart_photo/sandaly-bezowe.jpg","36,37,39",Sandały beżowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beżowy
BOUTIQUE ŚLUBNY ,Sandały różowe,360,"460,00 ",   D03115-7633-006,"https://baldowski.b-cdn.net/9057-new_cart_photo/sandaly-rozowe.jpg,https://baldowski.b-cdn.net/9059-new_cart_photo/sandaly-rozowe.jpg","37,40",Sandały różowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., różowy
BOUTIQUE ŚLUBNY ,Sandały srebrne,550,,   D03091-7633-001,"https://baldowski.b-cdn.net/9033-new_cart_photo/sandały-srebrne.jpg,https://baldowski.b-cdn.net/9035-new_cart_photo/sandały-srebrne.jpg","37,40",Srebrne sandały na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., srebrny
BOUTIQUE ŚLUBNY ,Czółenka złote,520,,   D03193-7633-002,"https://baldowski.b-cdn.net/9907-new_cart_photo/czolenka-zlote.jpg,https://baldowski.b-cdn.net/9909-new_cart_photo/czolenka-zlote.jpg","36,37,39,40",Czółenka złote na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., złoty
BOUTIQUE ŚLUBNY ,Sandały beżowe,330,"430,00 ",   D03091-7633-002,"https://baldowski.b-cdn.net/9041-new_cart_photo/sandały-beżowe.jpg,https://baldowski.b-cdn.net/9043-new_cart_photo/sandały-beżowe.jpg","37,38,39",Sandały beżowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beżowy
BOUTIQUE ŚLUBNY ,Czółenka beżowe,520,,   D03193-7633-001,"https://baldowski.b-cdn.net/10262-new_cart_photo/czolenka-bezowe.jpg,https://baldowski.b-cdn.net/10264-new_cart_photo/czolenka-bezowe.jpg","36,38,40",Czółenka beżowe na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., beżowy
BOUTIQUE ŚLUBNY ,Szpilki różowe,450,,   D03184-3359-004,"https://baldowski.b-cdn.net/10496-new_cart_photo/szpilki-rozowe.jpg,https://baldowski.b-cdn.net/10498-new_cart_photo/szpilki-rozowe.jpg","36,37,38,39,40",Szpilki różowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., różowy
BOUTIQUE ŚLUBNY ,Sandały nude,490,,   D03054-3436-011,"https://baldowski.b-cdn.net/10063-new_cart_photo/sandaly-nude.jpg,https://baldowski.b-cdn.net/10065-new_cart_photo/sandaly-nude.jpg","36,37,38",Sandały w kolorze nude na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej., nude
SZPILKI,Szpilki niebieskie,350,"450,00 ",   D03184-3359-003,"https://baldowski.b-cdn.net/9779-new_cart_photo/szpilki-niebieskie.jpg,https://baldowski.b-cdn.net/9781-new_cart_photo/szpilki-niebieskie.jpg",36,Szpilki na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej.,niebieski
SZPILKI,Szpilki różowe,350,"450,00 ",   D03184-3359-001,"https://baldowski.b-cdn.net/9141-new_cart_photo/szpilki-rozowe.jpg,https://baldowski.b-cdn.net/9143-new_cart_photo/szpilki-rozowe.jpg","36,37,39",Szpilki różowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., różowy
SZPILKI,Szpilki czerwone,420,,   D02443,"https://baldowski.b-cdn.net/8153-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/8154-new_cart_photo/szpilki-czerwone.jpg","36,37,38,40",Szpilki czerwone na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czerwony
SZPILKI,Szpilki żółte,420,,   D02443 zamsz żółty,"https://baldowski.b-cdn.net/9157-new_cart_photo/szpilki-zolte.jpg,https://baldowski.b-cdn.net/9159-new_cart_photo/szpilki-zolte.jpg",39,Szpilki  na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., żółty
WSZYSTKIE BUTY,Botki czarne,340,"540,00 ",   W00612-DIAN-001,"https://baldowski.b-cdn.net/8249-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/8251-new_cart_photo/botki-czarne.jpg",,"Czarne botki na 2,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej lakierowanej., czarny
WSZYSTKIE BUTY,Botki czarne,280,"480,00 ",   D02601,"https://baldowski.b-cdn.net/8161-new_cart_photo/botki-czarne-.jpg,https://baldowski.b-cdn.net/8163-new_cart_photo/botki-czarne-.jpg","36,37,38",Czarne botki e na 3-centymetrowym obcasie. ,"Wykonane ze skóry naturalnej, lycry.", czarny
WSZYSTKIE BUTY,Botki grafitowe,420,"520,00 ",   D02345-4330-006,"https://baldowski.b-cdn.net/8136-new_cart_photo/botki-grafitowe.jpg,https://baldowski.b-cdn.net/8138-new_cart_photo/botki-grafitowe.jpg",41,"Grafitowe botki na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., grafitowy
WSZYSTKIE BUTY,Szpilki czarne,420,,   D02287,"https://baldowski.b-cdn.net/8127-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/8129-new_cart_photo/szpilki-czarne.jpg","36,38","Czółenka czarne na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny
WSZYSTKIE BUTY,Botki w kolorze rudym,420,"470,00 ",   D02690-1451-001,"https://baldowski.b-cdn.net/8029-new_cart_photo/botki-w-kolorze-rudym.jpg,https://baldowski.b-cdn.net/8031-new_cart_photo/botki-w-kolorze-rudym.jpg","37,40",Botki zielone na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej.,zapinane na zamek.
WSZYSTKIE BUTY,Kozaki szare,550,"750,00 ",   D02353-7633-001,"https://baldowski.b-cdn.net/8013-new_cart_photo/kozaki-szare.jpg,https://baldowski.b-cdn.net/8015-new_cart_photo/kozaki-szare.jpg",39,Kozaki szare,Na 7-centymetrowym obcasie., wykonane ze skóry naturalnej.
BOUTIQUE ŚLUBNY ,Sandały srebrne,490,,   D03054-3436-013,"https://baldowski.b-cdn.net/10071-new_cart_photo/sandały-srebrne.jpg,https://baldowski.b-cdn.net/10073-new_cart_photo/sandały-srebrne.jpg","35,38,39",Srebrne buty na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., srebrny
WSZYSTKIE BUTY,Czółenka niebieskie,550,"650,00 ",   D02727-3262-005,"https://baldowski.b-cdn.net/7714-new_cart_photo/czółenka-niebieskie.jpg,https://baldowski.b-cdn.net/7715-new_cart_photo/czółenka-niebieskie.jpg",41,Czółenka niebieskie na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., niebieski
BOUTIQUE ŚLUBNY ,Sandały na szpilce beżowe,490,,   D03054-3436-017,"https://baldowski.b-cdn.net/9839-new_cart_photo/sandaly-na-szpilce-bezowe.jpg,https://baldowski.b-cdn.net/9841-new_cart_photo/sandaly-na-szpilce-bezowe.jpg","35,36,39,40",Sandały na szpilce na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej., beżowy
BOUTIQUE ŚLUBNY ,Sandały na szpilce różowe,430,,   D03167-3436-005,"https://baldowski.b-cdn.net/8887-new_cart_photo/sandały-na-szpilce-różowe.jpg,https://baldowski.b-cdn.net/8889-new_cart_photo/sandały-na-szpilce-różowe.jpg","36,39",Sandały na szpilce na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej., różowy
BOUTIQUE ŚLUBNY ,Sandały beżowe,500,,   D02599-3436-004,"https://baldowski.b-cdn.net/8605-new_cart_photo/sandaly-bezowe.jpg,https://baldowski.b-cdn.net/8607-new_cart_photo/sandaly-bezowe.jpg","37,38,39,40",Sandały beżowe na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beżowy
BOUTIQUE ŚLUBNY ,Szpilki różowe,350,"450,00 ",   D03184-3359-002,"https://baldowski.b-cdn.net/8757-new_cart_photo/szpilki-różowe.jpg,https://baldowski.b-cdn.net/8759-new_cart_photo/szpilki-różowe.jpg","36,37,38,40",Szpilki różowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej i zamszowej., różowy
WSZYSTKIE BUTY,Klapki brązowe,340,"440,00 ",   D03074-4744-005,"https://baldowski.b-cdn.net/9017-new_cart_photo/klapki-brazowe.jpg,https://baldowski.b-cdn.net/9019-new_cart_photo/klapki-brazowe.jpg","37,38",Klapki brązowe na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., brązowy
WSZYSTKIE BUTY,Sandały czarne,320,"420,00 ",   D03032-3436-003,"https://baldowski.b-cdn.net/9008-new_cart_photo/sandały-czarne.jpg,https://baldowski.b-cdn.net/9010-new_cart_photo/sandały-czarne.jpg","36,37,38,39,40",Sandały czarne na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny monogram
WSZYSTKIE BUTY,Sandały białe,320,"420,00 ",   D03032-3436-002,"https://baldowski.b-cdn.net/9000-new_cart_photo/sandały-białe.jpg,https://baldowski.b-cdn.net/9002-new_cart_photo/sandały-białe.jpg",37,Sandały białe na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały monogram
WSZYSTKIE BUTY,Sandały niebieskie,320,"420,00 ",   D03001-7633-003,"https://baldowski.b-cdn.net/8976-new_cart_photo/sandaly-niebieskie.jpg,https://baldowski.b-cdn.net/8978-new_cart_photo/sandaly-niebieskie.jpg","36,37,39",Sandały niebieskie na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej oraz wysokogatunkowego materiału, niebieski
WSZYSTKIE BUTY,Sandały na szpilce zielone,390,"490,00 ",   D02599-3436-006,"https://baldowski.b-cdn.net/8862-new_cart_photo/sandały-na-szpilce-zielone.jpg,https://baldowski.b-cdn.net/8864-new_cart_photo/sandały-na-szpilce-zielone.jpg",37,Sandały na szpilce na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., zielone
WSZYSTKIE BUTY,Sandały czarne,430,"530,00 ",   D03115-7633-005,"https://baldowski.b-cdn.net/8814-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/8816-new_cart_photo/sandaly-czarne.jpg","36,37,39",Sandały czarne na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej i zamszowej, czarny
WSZYSTKIE BUTY,Sandały na szpilce niebieskie,390,"490,00 ",   D02599-3436-005,"https://baldowski.b-cdn.net/8782-new_cart_photo/sandały-na-szpilce-niebieskie.jpg,https://baldowski.b-cdn.net/8784-new_cart_photo/sandały-na-szpilce-niebieskie.jpg","36,38,39,40",Sandały na szpilce na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., niebieskie
BOUTIQUE ŚLUBNY ,Szpilki beżowe,500,,   D03187-3359-001,"https://baldowski.b-cdn.net/9899-new_cart_photo/szpilki-bezowe.jpg,https://baldowski.b-cdn.net/9901-new_cart_photo/szpilki-bezowe.jpg","37,38,39",Szpili beżowe na 7-centymetrowym obcasie., wykonane ze skóry naturalnej., beżowy
SZPILKI,Szpilki zielone,490,,   D1545-3359-013,"https://baldowski.b-cdn.net/10246-new_cart_photo/szpilki-zielone.jpg,https://baldowski.b-cdn.net/10248-new_cart_photo/szpilki-zielone.jpg","36,39,41",Czółenka zielone na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., zielony
SZPILKI,Szpilki zielone,520,,   D02816-2835-010,"https://baldowski.b-cdn.net/10336-new_cart_photo/szpilki-zielone.jpg,https://baldowski.b-cdn.net/10338-new_cart_photo/szpilki-zielone.jpg","36,39,40,41",Szpilki zielone na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., zielony
SZPILKI,Szpilki jasny brąz,520,,   D02816-2835-011,"https://baldowski.b-cdn.net/10254-new_cart_photo/szpilki-jasny-braz.jpg,https://baldowski.b-cdn.net/10256-new_cart_photo/szpilki-jasny-braz.jpg","36,37,38,39,40,41",Szpilki w kolorze jasnego brązu na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., jasny brąz
SZPILKI,Szpilki czarne z metalowym noskiem,510,,   D03516-3359-001,"https://baldowski.b-cdn.net/10597-new_cart_photo/szpilki-czarne-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10599-new_cart_photo/szpilki-czarne-z-metalowym-noskiem.jpg","36,37,39",Szpilki czarne na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
SZPILKI,Szpilki rude z metalowym noskiem,510,,   D03516-3359-002,"https://baldowski.b-cdn.net/10312-new_cart_photo/szpilki-rude-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10314-new_cart_photo/szpilki-rude-z-metalowym-noskiem.jpg","36,38,39,40,41",Szpilki rude na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., rudy
SZPILKI,Szpilki bordowe z metalowym noskiem,510,,   D03516-3359-008/Z2,"https://baldowski.b-cdn.net/10929-new_cart_photo/szpilki-bordowe-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10930-new_cart_photo/szpilki-bordowe-z-metalowym-noskiem.jpg","35,36,37,38,39,40,41",Szpilki bordowe na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., bordowy
SZPILKI,Szpilki zielone z metalowym noskiem,510,,   D03516-3359-007/Z2,"https://baldowski.b-cdn.net/10920-new_cart_photo/szpilki-zielone-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10922-new_cart_photo/szpilki-zielone-z-metalowym-noskiem.jpg","35,36,37,38,39,40,41",Szpilki zielone na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., zielony
SZPILKI,Szpilki czarne,590,,   D03147-3436-001,"https://baldowski.b-cdn.net/9763-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/9765-new_cart_photo/szpilki-czarne.jpg",35,Szpilki czarne na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarne
SZPILKI,Szpilki w kolorze camel,520,,   D01468-1451-011,"https://baldowski.b-cdn.net/9813-new_cart_photo/szpilki-w-kolorze-camel.jpg,https://baldowski.b-cdn.net/9815-new_cart_photo/szpilki-w-kolorze-camel.jpg","36,37,38,39,40,41",Szpilki w kolorze camel na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., camel
SZPILKI,Szpilki w multikolorze,340,"490,00 ",   D00580-1451-200,"https://baldowski.b-cdn.net/5469-new_cart_photo/szpilki-w-multikolorze.jpg,https://baldowski.b-cdn.net/5471-new_cart_photo/szpilki-w-multikolorze.jpg",36,Szpilki w multikolorze na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., multikolor
SZPILKI,Szpilki multicolor,480,,   D03053-1451-003,"https://baldowski.b-cdn.net/8473-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/8474-new_cart_photo/szpilki-multicolor.jpg","36,39,40,41",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor
WSZYSTKIE BUTY,Klapki multicolor,490,"590,00 ",   W00614-2835-002,"https://baldowski.b-cdn.net/9932-new_cart_photo/klapki-multicolor.jpg,https://baldowski.b-cdn.net/9934-new_cart_photo/klapki-multicolor.jpg","36,37,38",Klapki multicolor na 8-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., multicolor
WSZYSTKIE BUTY,Klapki czarne,420,"520,00 ",   D03056-4330-005,"https://baldowski.b-cdn.net/9887-new_cart_photo/klapki-czarne.jpg,https://baldowski.b-cdn.net/9889-new_cart_photo/klapki-czarne.jpg","36,37,38,39,40","Klapki czarne na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarne
WSZYSTKIE BUTY,Klapki oliwkowe,420,"520,00 ",   D03056-4330-004,"https://baldowski.b-cdn.net/9879-new_cart_photo/klapki-oliwkowe.jpg,https://baldowski.b-cdn.net/9881-new_cart_photo/klapki-oliwkowe.jpg","37,39,40","Klapki oliwkowe na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., oliwkowy
WSZYSTKIE BUTY,Sandały czarne,390,"490,00 ",   D03133-7633-002,"https://baldowski.b-cdn.net/9756-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/9757-new_cart_photo/sandaly-czarne.jpg",36,Sandały czarne na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej i zamszowej, czarny
WSZYSTKIE BUTY,Sandały czarne,360,"460,00 ",   D03107-4742-001,"https://baldowski.b-cdn.net/9747-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/9749-new_cart_photo/sandaly-czarne.jpg","37,38,39,41",Sandały czarne na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarne
